09:13:25:766 [ALWAYS]	GUDE Logging Started
09:13:25:766 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:13:25:766 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:13:25:766 [ERROR]	Initialize resume cache pointer failure
09:13:25:766 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
09:13:25:766 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
09:13:28:291 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
09:13:28:292 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:13:28:292 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:13:28:292 [ERROR]	Initialize resume cache pointer failure
09:13:28:292 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
09:13:28:292 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
